name,date,location,label
2021-11-06-AGAT-B-T1 8.0-A (PB065319).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 0.5-B (PB065299).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 10.0-A (PB065222).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 15.5-B (PB065270).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 16.0-A (PB065234).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 16.5-B (PB065268).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 17.0-A (PB065236).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 4.0-A (PB065210).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 5.0-A (PB065212).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 5.5-B (PB065290).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 6.0-A (PB065214).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 6.5-B (PB065287).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T2 7.5-B (PB065286).JPG,2021-11-06,"Pacific National Historical Park, Guam",healthy
2021-11-06-AGAT-B-T3 7.5-B (PB065185).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T4 12.5-B (PB065074).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T4 3.5-B (PB065092).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T5 11.5-B (PB064975).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T5 15.0-A (PB064929).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T5 22.0-A (PB064943).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T5 5.5-B (PB064987).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T1 0.5-B (PB070507).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T2 0.5-B (PB070404).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T2 19.0-A (PB070344).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T2 7.5-B (PB070390).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 0.5-B (PB070303).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 11.5-B (PB070281).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 14.5-B (PB070275).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 15.0-A (PB070235).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 18.0-A (PB070241).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 19.0-A (PB070243).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 7.0-A (PB070219).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 9.0-A (PB070223).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T3 9.5-B (PB070285).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T4 0.5-B (PB070202).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T4 11.5-B (PB070180).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T4 12.0-A (PB070128).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T4 2.5-B (PB070198).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T5 0.5-B (PB070100).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T5 17.0-A (PB070038).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T5 4.0-A (PB070011).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-07-ADELUP-B-T5 8.0-A (PB070019).JPG,2021-11-07,"Pacific National Historical Park, Guam",bleached
2021-11-20-ADELUP-A-T3 11.0-A (PB200735).JPG,2021-11-20,"Pacific National Historical Park, Guam",healthy
2021-11-20-ADELUP-A-T4 22.5-B (PB200867).JPG,2021-11-20,"Pacific National Historical Park, Guam",bleached
2021-11-20-ADELUP-A-T4 24.0-A (PB200862).JPG,2021-11-20,"Pacific National Historical Park, Guam",bleached
2021-11-20-ADELUP-A-T5 16.0-A (PB200943).JPG,2021-11-20,"Pacific National Historical Park, Guam",bleached
2021-11-20-ADELUP-A-T5 7.0-A (PB200926).JPG,2021-11-20,"Pacific National Historical Park, Guam",bleached
TRAINER AOCO 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER AOCO 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER AOCO 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER AOCO 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER AOCO 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER AOCO 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER ASWA 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER ASWA 2020-08-10-AGAT-A-T1 21.0-A (P8103009).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER ASWA 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CHAM 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CHAM 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CHAM 2020-08-10-AGAT-A-T1 21.0-A (P8103009).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CHAM 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CHAM 2020-08-10-AGAT-B-T4 2.0-A (P8103846).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-07-ADELUP-B-T3 9.5-B (P8072722).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-10-AGAT-B-T4 2.0-A (P8103846).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-10-AGAT-B-T5 1.5-B (P8104052).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER CKIL 2020-08-10-AGAT-B-T5 5.5-B (P8104044).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EMUL 2020-06-23-ADELUP-A-T1 15.0-A (P6230529).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EMUL 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EMUL 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EMUL 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EMUL 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EMUL 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EMUL 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-06-23-ADELUP-A-T5 24.0-A (P6230984).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-08-07-ADELUP-B-T3 9.5-B (P8072722).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER EVAU 2020-08-10-AGAT-B-T5 1.5-B (P8104052).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER KTAN 2020-06-23-ADELUP-A-T1 15.0-A (P6230529).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER KTAN 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER KTAN 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER KTAN 2020-08-07-ADELUP-B-T3 9.5-B (P8072722).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER KTAN 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER KTAN 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MAGA 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MAGA 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MAGA 2020-07-24-ASAN-B-T2 24.0-A (P7240177).JPG,2021-09-01,"Pacific National Historical Park, Guam",healthy
TRAINER MAGA 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MAGA 2020-08-10-AGAT-A-T1 7.0-A (P8102982).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MAGA 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MDIM 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MDIM 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MDIM 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MDIM 2020-08-10-AGAT-B-T4 2.0-A (P8103846).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MOVA 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MOVA 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MOVA 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MOVA 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MOVA 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MOVA 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-06-23-ADELUP-A-T1 15.0-A (P6230529).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-06-23-ADELUP-A-T5 16.0-A (P6230968).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-07-ADELUP-B-T5 21.5-B (P8072923).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-10-AGAT-A-T1 21.0-A (P8103009).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-10-AGAT-A-T1 7.0-A (P8102982).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-10-AGAT-B-T4 2.0-A (P8103846).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER MSHR 2020-08-10-AGAT-B-T5 1.5-B (P8104052).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NASC 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NASC 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NASC 2020-08-07-ADELUP-B-T3 9.5-B (P8072722).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NASC 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NASC 2020-08-10-AGAT-B-T4 2.0-A (P8103846).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NBUR 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NBUR 2020-08-07-ADELUP-B-T3 9.5-B (P8072722).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NBUR 2020-08-10-AGAT-A-T1 7.0-A (P8102982).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER NBUR 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER PAST 2020-08-10-AGAT-A-T1 7.0-A (P8102982).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER PAST 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER PAST 2020-08-10-AGAT-B-T4 2.0-A (P8103846).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER PAST 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RNIE 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RNIE 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RNIE 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RNIE 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RNIE 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RNIE 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RSTA 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RSTA 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RSTA 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER RSTA 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SBUT 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SBUT 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SBUT 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SBUT 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SYOK 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SYOK 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SYOK 2020-08-10-AGAT-A-T1 21.0-A (P8103009).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SYOK 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER SYOK 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-06-23-ADELUP-A-T1 15.0-A (P6230529).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-06-23-ADELUP-A-T1 24.0-A (P6230547).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-06-23-ADELUP-A-T2 19.0-A (P6230646).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-08-07-ADELUP-B-T5 20.0-A (P8072897).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-08-10-AGAT-A-T1 16.5-B (P8103040).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-08-10-AGAT-A-T1 7.0-A (P8102982).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-08-10-AGAT-B-T1 7.0-A (P8103531).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-08-10-AGAT-B-T4 2.0-A (P8103846).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-08-10-AGAT-B-T5 0.5-B (P8104054).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
TRAINER XQUI 2020-08-10-AGAT-B-T5 1.5-B (P8104052).JPG,2021-09-01,"Pacific National Historical Park, Guam",bleached
